age,salary,balance,tenure,churn
39,76232,12218,7,0
55,76296,12439,3,1
50,23029,31962,2,0
52,51863,18923,3,0
27,68119,17180,3,0
20,61077,41649,5,0
55,70817,34464,2,1
22,24901,38901,4,0
21,59360,17951,4,1
50,27964,9439,2,0
41,68926,27710,7,1
28,77070,48453,8,1
25,39427,37835,2,0
34,23490,5518,5,1
23,89540,35277,4,1
40,57586,25794,8,0
26,60056,5600,6,1
39,77675,21364,3,1
34,23082,37866,5,0
58,28891,39667,8,1
45,50897,39603,3,0
30,84775,46763,3,0
31,22074,12280,4,1
51,20922,30272,6,1
41,68958,25615,6,0
29,37048,48753,8,0
46,77426,32101,8,1
35,20384,27454,8,1
26,91740,43847,5,1
28,87172,39498,3,0
27,47667,795,8,0
50,39717,6844,7,0
42,81049,49571,7,1
30,43250,13347,7,0
49,26803,17046,9,0
21,22725,23288,3,0
27,73926,33687,5,0
50,88449,26526,6,0
18,23940,31940,9,0
30,23828,25581,8,1
18,29631,764,2,1
23,62531,32610,6,1
28,57320,25466,8,1
40,98503,42971,2,1
57,38894,17219,2,0
59,37912,42598,7,1
35,60626,9216,5,0
25,83203,4006,3,1
32,45121,5498,7,1
41,83518,24653,5,1
53,20432,49728,7,1
58,69812,39419,5,0
23,96630,29975,9,1
58,90447,7637,6,1
29,21589,22445,3,1
38,55422,28587,7,0
58,34502,32543,4,0
48,55457,19640,5,0
52,34967,45472,9,0
19,32860,30873,2,1
36,66600,40116,3,0
29,56374,43915,5,1
20,95445,44259,3,1
42,61438,35447,4,0
53,53445,46793,9,0
39,47415,49188,9,1
54,22077,30838,3,0
29,61021,42228,4,1
18,95198,17570,7,1
59,94030,22893,2,0
20,88419,22111,2,0
20,92639,44959,9,1
34,65635,25339,8,0
20,51045,25476,3,0
18,58837,11713,4,1
24,47076,31723,4,0
28,25917,24521,5,0
49,23274,27883,9,0
54,62107,8096,3,1
28,41797,31318,7,1
42,72739,22064,9,1
57,39598,13274,5,0
45,34067,30174,6,0
34,29451,18783,3,0
42,63390,40397,2,0
55,64965,21832,9,1
54,80568,42157,7,1
52,50760,9727,8,0
29,66692,2424,2,1
